time,us,acc
15:52:30.786,23390948,34.48
15:52:30.823,23422972,33.49
15:52:30.859,23455000,40.73
15:52:30.897,23487036,37.04
15:52:30.897,23519052,37.21
15:52:30.933,23551064,38.28
15:52:30.970,23583100,33.61
15:52:31.005,23615124,41.20
15:52:31.048,23647132,34.76
15:52:31.081,23679156,36.58
15:52:31.117,23711188,36.92
15:52:31.117,23743212,33.92
15:52:31.151,23775240,34.81
15:52:31.188,23807260,38.09
15:52:31.226,23839296,36.03
15:52:31.262,23871316,41.24
15:52:31.296,23903332,38.64
15:52:31.330,23935364,41.34
15:52:31.364,23967380,36.98
15:52:31.400,23999408,35.63
15:52:31.435,24031432,33.43
15:52:31.469,24063452,38.12
15:52:31.469,24095468,40.64
15:52:31.506,24127504,33.07
15:52:31.543,24159516,38.82
15:52:31.579,24191552,38.68
15:52:31.616,24223580,40.57
15:52:31.651,24255596,38.11
15:52:31.689,24287628,37.23
15:52:31.723,24319656,38.33
15:52:31.758,24351680,33.89
15:52:31.795,24383716,33.18
15:52:31.795,24415736,35.63
15:52:31.833,24447748,35.90
15:52:31.871,24479768,38.33
15:52:31.906,24511784,34.18
15:52:31.944,24543800,36.82
15:52:31.977,24575828,38.36
15:52:32.010,24607856,39.28
15:52:32.046,24639888,37.20
15:52:32.046,24671920,40.30
15:52:32.084,24703944,34.76
15:52:32.118,24735972,34.76
15:52:32.156,24767992,34.63
15:52:32.189,24800016,38.49
15:52:32.227,24832040,35.86
15:52:32.264,24864064,40.73
15:52:32.301,24896088,36.78
15:52:32.338,24928108,42.88
15:52:32.338,24960132,38.66
15:52:32.372,24992164,35.59
15:52:32.407,25024188,38.92
15:52:32.443,25056212,38.65
15:52:32.478,25088236,37.94
15:52:32.512,25120264,37.57
15:52:32.546,25152288,36.74
15:52:32.583,25184308,38.90
15:52:32.619,25216332,35.86
15:52:32.656,25248368,38.69
15:52:32.656,25280396,36.33
15:52:32.690,25312412,35.81
15:52:32.724,25344440,34.59
15:52:32.762,25376476,39.19
15:52:32.799,25408496,33.29
15:52:32.835,25440528,39.40
15:52:32.870,25472560,39.10
15:52:32.905,25504588,36.93
15:52:32.938,25536616,39.20
15:52:32.974,25568648,36.84
15:52:33.011,25600672,37.65
15:52:33.011,25632696,31.72
15:52:33.049,25664716,36.53
15:52:33.085,25696736,31.67
15:52:33.121,25728756,38.64
15:52:33.156,25760788,38.32
15:52:33.189,25792804,35.07
15:52:33.226,25824840,39.79
15:52:33.261,25856868,36.28
15:52:33.297,25888892,37.59
15:52:33.297,25920928,36.27
15:52:33.333,25952948,38.52
15:52:33.366,25984968,36.64
15:52:33.404,26016992,35.09
15:52:33.438,26049020,37.95
15:52:33.473,26081056,37.04
15:52:33.509,26113080,36.48
15:52:33.547,26145100,36.01
15:52:33.584,26177120,39.65
15:52:33.617,26209144,38.82
15:52:33.617,26241164,36.47
15:52:33.652,26273204,36.35
15:52:33.690,26305224,36.76
15:52:33.725,26337252,37.08
15:52:33.763,26369272,35.24
15:52:33.801,26401292,36.75
15:52:33.838,26433324,36.54
15:52:33.875,26465344,36.04
15:52:33.875,26497352,37.01
15:52:33.910,26529384,40.53
15:52:33.945,26561404,39.71
15:52:33.982,26593424,37.28
15:52:34.017,26625464,38.85
15:52:34.053,26657484,39.09
15:52:34.087,26689508,35.86
15:52:34.124,26721536,39.76
15:52:34.161,26753560,40.20
15:52:34.196,26785568,37.62
15:52:34.196,26817596,37.14
15:52:34.230,26849612,38.63
15:52:34.267,26881644,36.00
15:52:34.304,26913680,37.91
15:52:34.341,26945700,36.03
15:52:34.375,26977732,37.39
15:52:34.412,27009760,38.00
15:52:34.450,27041788,34.69
15:52:34.450,27073804,37.74
15:52:34.488,27105836,38.71
15:52:34.525,27137872,34.83
15:52:34.562,27169896,39.58
15:52:34.598,27201928,39.85
15:52:34.635,27233948,36.08
15:52:34.669,27265968,38.90
15:52:34.706,27297984,33.27
15:52:34.740,27330008,38.76
15:52:34.740,27362040,35.09
15:52:34.778,27394060,37.13
15:52:34.812,27426084,37.22
15:52:34.850,27458108,37.74
15:52:34.886,27490140,37.60
15:52:34.921,27522168,40.01
15:52:34.957,27554192,36.33
15:52:34.991,27586216,37.77
15:52:35.025,27618240,38.23
15:52:35.058,27650252,34.96
15:52:35.093,27682284,37.60
15:52:35.093,27714308,40.25
15:52:35.129,27746328,34.39
15:52:35.163,27778352,40.20
15:52:35.201,27810368,40.81
15:52:35.238,27842392,39.21
15:52:35.275,27874424,37.66
15:52:35.312,27906460,36.75
15:52:35.347,27938488,38.31
15:52:35.347,27970508,34.84
15:52:35.381,28002524,34.10
15:52:35.419,28034536,33.75
15:52:35.457,28066552,37.18
15:52:35.490,28098572,38.03
15:52:35.525,28130588,40.47
15:52:35.562,28162636,35.10
15:52:35.598,28194656,39.86
15:52:35.632,28226684,39.14
15:52:35.669,28258708,37.19
15:52:35.669,28290736,37.31
15:52:35.702,28322756,39.64
15:52:35.738,28354768,34.60
15:52:35.772,28386780,37.18
15:52:35.808,28418808,36.68
15:52:35.846,28450844,42.87
15:52:35.884,28482868,40.46
15:52:35.920,28514904,33.45
15:52:35.956,28546920,39.33
15:52:35.956,28578936,37.10
15:52:35.991,28610960,34.53
15:52:36.026,28642980,37.82
15:52:36.063,28675012,39.71
15:52:36.101,28707028,34.58
15:52:36.139,28739048,36.15
15:52:36.176,28771080,37.28
15:52:36.211,28803096,42.08
15:52:36.211,28835116,37.56
15:52:36.248,28867136,40.64
15:52:36.284,28899160,36.25
